"","id","noi","category","category_1to5","category_5to10","category_10to15","category_15to20","category_20+","category_NA"
"127",127,"14","10to15",0,0,1,0,0,0
"128",128,"3","1to5",1,0,0,0,0,0
"129",129,"13","10to15",0,0,1,0,0,0
"130",130,"7","5to10",0,1,0,0,0,0
"131",131,"9","5to10",0,1,0,0,0,0
"132",132,"4","1to5",1,0,0,0,0,0
"133",133,"32","20+",0,0,0,0,1,0
"134",134,"26","20+",0,0,0,0,1,0
"135",135,"1","1to5",1,0,0,0,0,0
"136",136,"12","10to15",0,0,1,0,0,0
"137",137,"6","5to10",0,1,0,0,0,0
"138",138,"10","5to10",0,1,0,0,0,0
"139",139,"1","1to5",1,0,0,0,0,0
"140",140,"4","1to5",1,0,0,0,0,0
"141",141,"NA","NA",0,0,0,0,0,1
"142",142,"11","10to15",0,0,1,0,0,0
"143",143,"15","10to15",0,0,1,0,0,0
"144",144,"3","1to5",1,0,0,0,0,0
"145",145,"3","1to5",1,0,0,0,0,0
"146",146,"10","5to10",0,1,0,0,0,0
"147",147,"3","1to5",1,0,0,0,0,0
"148",148,"10","5to10",0,1,0,0,0,0
"149",149,"20","15to20",0,0,0,1,0,0
"150",150,"4","1to5",1,0,0,0,0,0
"151",151,"20","15to20",0,0,0,1,0,0
"152",152,"11","10to15",0,0,1,0,0,0
"153",153,"1","1to5",1,0,0,0,0,0
"154",154,"3","1to5",1,0,0,0,0,0
"155",155,"9","5to10",0,1,0,0,0,0
"156",156,"19","15to20",0,0,0,1,0,0
"157",157,"11","10to15",0,0,1,0,0,0
"158",158,"13","10to15",0,0,1,0,0,0
"159",159,"1","1to5",1,0,0,0,0,0
"160",160,"1","1to5",1,0,0,0,0,0
"161",161,"8","5to10",0,1,0,0,0,0
"162",162,"1","1to5",1,0,0,0,0,0
"163",163,"2","1to5",1,0,0,0,0,0
"164",164,"2","1to5",1,0,0,0,0,0
"165",165,"NA","NA",0,0,0,0,0,1
"166",166,"9","5to10",0,1,0,0,0,0
"167",167,"1","1to5",1,0,0,0,0,0
"168",168,"1","1to5",1,0,0,0,0,0
"169",169,"10","5to10",0,1,0,0,0,0
"170",170,"21","20+",0,0,0,0,1,0
"171",171,"8","5to10",0,1,0,0,0,0
"172",172,"8","5to10",0,1,0,0,0,0
"173",173,"1","1to5",1,0,0,0,0,0
"174",174,"3","1to5",1,0,0,0,0,0
"175",175,"35","20+",0,0,0,0,1,0
"176",176,"24","20+",0,0,0,0,1,0
"177",177,"10","5to10",0,1,0,0,0,0
"178",178,"6","5to10",0,1,0,0,0,0
"179",179,"NA","NA",0,0,0,0,0,1
"180",180,"4","1to5",1,0,0,0,0,0
"181",181,"23","20+",0,0,0,0,1,0
"182",182,"15","10to15",0,0,1,0,0,0
"183",183,"NA","NA",0,0,0,0,0,1
"184",184,"12","10to15",0,0,1,0,0,0
"185",185,"12","10to15",0,0,1,0,0,0
"186",186,"9","5to10",0,1,0,0,0,0
"187",187,"12","10to15",0,0,1,0,0,0
"188",188,"10","5to10",0,1,0,0,0,0
"189",189,"4","1to5",1,0,0,0,0,0
"190",190,"1","1to5",1,0,0,0,0,0
"191",191,"11","10to15",0,0,1,0,0,0
"192",192,"6","5to10",0,1,0,0,0,0
"193",193,"16","15to20",0,0,0,1,0,0
"194",194,"8","5to10",0,1,0,0,0,0
"195",195,"1","1to5",1,0,0,0,0,0
"196",196,"2","1to5",1,0,0,0,0,0
"197",197,"3","1to5",1,0,0,0,0,0
"198",198,"4","1to5",1,0,0,0,0,0
"199",199,"2","1to5",1,0,0,0,0,0
"200",200,"11","10to15",0,0,1,0,0,0
"201",201,"14","10to15",0,0,1,0,0,0
"202",202,"5","1to5",1,0,0,0,0,0
"203",203,"14","10to15",0,0,1,0,0,0
"204",204,"23","20+",0,0,0,0,1,0
"205",205,"10","5to10",0,1,0,0,0,0
"206",206,"18","15to20",0,0,0,1,0,0
"207",207,"8","5to10",0,1,0,0,0,0
"208",208,"3","1to5",1,0,0,0,0,0
"209",209,"6","5to10",0,1,0,0,0,0
"210",210,"2","1to5",1,0,0,0,0,0
"211",211,"1","1to5",1,0,0,0,0,0
"212",212,"4","1to5",1,0,0,0,0,0
"213",213,"2","1to5",1,0,0,0,0,0
"214",214,"4","1to5",1,0,0,0,0,0
"215",215,"3","1to5",1,0,0,0,0,0
"216",216,"3","1to5",1,0,0,0,0,0
"217",217,"9","5to10",0,1,0,0,0,0
"218",218,"9","5to10",0,1,0,0,0,0
"219",219,"3","1to5",1,0,0,0,0,0
"220",220,"3","1to5",1,0,0,0,0,0
