"","id","tr","Trademarks","Trademarks_0to10","Trademarks_10to100","Trademarks_100+","Trademarks_NA"
"936",936,"NA","NA",0,0,0,1
"937",937,"3","0to10",1,0,0,0
"938",938,"NA","NA",0,0,0,1
"939",939,"1","0to10",1,0,0,0
"940",940,"NA","NA",0,0,0,1
"941",941,"4","0to10",1,0,0,0
"942",942,"NA","NA",0,0,0,1
"943",943,"1","0to10",1,0,0,0
"944",944,"11","10to100",0,1,0,0
"945",945,"1","0to10",1,0,0,0
"946",946,"15","10to100",0,1,0,0
"947",947,"1","0to10",1,0,0,0
"948",948,"NA","NA",0,0,0,1
"949",949,"NA","NA",0,0,0,1
"950",950,"2","0to10",1,0,0,0
"951",951,"2","0to10",1,0,0,0
"952",952,"13","10to100",0,1,0,0
"953",953,"NA","NA",0,0,0,1
"954",954,"1","0to10",1,0,0,0
"955",955,"89","10to100",0,1,0,0
"956",956,"5","0to10",1,0,0,0
"957",957,"3","0to10",1,0,0,0
"958",958,"NA","NA",0,0,0,1
"959",959,"2","0to10",1,0,0,0
"960",960,"10","0to10",1,0,0,0
"961",961,"8","0to10",1,0,0,0
"962",962,"7","0to10",1,0,0,0
"963",963,"3","0to10",1,0,0,0
"964",964,"7","0to10",1,0,0,0
"965",965,"7","0to10",1,0,0,0
"966",966,"11","10to100",0,1,0,0
"967",967,"0","0to10",1,0,0,0
"968",968,"NA","NA",0,0,0,1
"969",969,"NA","NA",0,0,0,1
"970",970,"5","0to10",1,0,0,0
"971",971,"NA","NA",0,0,0,1
"972",972,"3","0to10",1,0,0,0
"973",973,"13","10to100",0,1,0,0
"974",974,"NA","NA",0,0,0,1
"975",975,"NA","NA",0,0,0,1
"976",976,"NA","NA",0,0,0,1
"977",977,"6","0to10",1,0,0,0
"978",978,"NA","NA",0,0,0,1
"979",979,"NA","NA",0,0,0,1
"980",980,"4","0to10",1,0,0,0
"981",981,"NA","NA",0,0,0,1
"982",982,"363","100+",0,0,1,0
"983",983,"1","0to10",1,0,0,0
"984",984,"NA","NA",0,0,0,1
"985",985,"2","0to10",1,0,0,0
"986",986,"1","0to10",1,0,0,0
"987",987,"NA","NA",0,0,0,1
"988",988,"4","0to10",1,0,0,0
"989",989,"NA","NA",0,0,0,1
"990",990,"3","0to10",1,0,0,0
"991",991,"4","0to10",1,0,0,0
"992",992,"6","0to10",1,0,0,0
"993",993,"6","0to10",1,0,0,0
"994",994,"NA","NA",0,0,0,1
"995",995,"1","0to10",1,0,0,0
"996",996,"1","0to10",1,0,0,0
"997",997,"9","0to10",1,0,0,0
"998",998,"4","0to10",1,0,0,0
"999",999,"4","0to10",1,0,0,0
"1000",1000,"NA","NA",0,0,0,1
"1001",1001,"11","10to100",0,1,0,0
"1002",1002,"6","0to10",1,0,0,0
"1003",1003,"3","0to10",1,0,0,0
"1004",1004,"16","10to100",0,1,0,0
"1005",1005,"NA","NA",0,0,0,1
"1006",1006,"1","0to10",1,0,0,0
"1007",1007,"2","0to10",1,0,0,0
"1008",1008,"NA","NA",0,0,0,1
"1009",1009,"20","10to100",0,1,0,0
"1010",1010,"5","0to10",1,0,0,0
"1011",1011,"32","10to100",0,1,0,0
"1012",1012,"NA","NA",0,0,0,1
"1013",1013,"1","0to10",1,0,0,0
"1014",1014,"NA","NA",0,0,0,1
"1015",1015,"4","0to10",1,0,0,0
"1016",1016,"0","0to10",1,0,0,0
"1017",1017,"1","0to10",1,0,0,0
"1018",1018,"3","0to10",1,0,0,0
"1019",1019,"5","0to10",1,0,0,0
"1020",1020,"9","0to10",1,0,0,0
"1021",1021,"3","0to10",1,0,0,0
